Time,Lat,Lon,scPDSI
1016,49.75,16,1.689
1016,50.25,16,1.969
1016,50.75,16,1.504
1016,49.25,16.5,-0.489
1016,49.75,16.5,-0.667
1016,50.25,16.5,0.792
1016,50.75,16.5,0.715
1017,49.25,13.5,3.283
1017,49.75,13.5,3.466
1017,50.25,13.5,2.381
1017,50.75,13.5,0.299
1017,49.25,14,2.018
1017,49.75,14,1.384
1017,50.25,14,3.172
1017,50.75,14,0.38
1017,49.25,14.5,1.944
1017,49.75,14.5,0.959
1017,50.25,14.5,2.256
1017,50.75,14.5,1.89
1017,49.25,15,0.335
1017,49.75,15,1.805
1017,50.25,15,1.868
1017,50.75,15,0.291
1017,49.25,15.5,1.053
1017,49.75,15.5,2.066
1017,50.25,15.5,0.724
1017,50.75,15.5,0.61
1017,49.25,16,1.127
1017,49.75,16,2.363
1017,50.25,16,2.564
1017,50.75,16,1.446
1017,49.25,16.5,0.417
1017,49.75,16.5,0.876
1017,50.25,16.5,0.85
1017,50.75,16.5,-0.169
1018,49.25,13.5,1.909
1018,49.75,13.5,1.685
1018,50.25,13.5,0.818
1018,50.75,13.5,-2.459
1018,49.25,14,1.297
1018,49.75,14,-0.245
1018,50.25,14,2.113
1018,50.75,14,-2.139
1018,49.25,14.5,1.15
1018,49.75,14.5,0.152
1018,50.25,14.5,1
1018,50.75,14.5,0.049
1018,49.25,15,0.976
1018,49.75,15,1.38
1018,50.25,15,1.673
1018,50.75,15,-2.974
1018,49.25,15.5,1.76
1018,49.75,15.5,2.27
1018,50.25,15.5,0.187
1018,50.75,15.5,-1.84
1018,49.25,16,1.957
1018,49.75,16,2.754
1018,50.25,16,2.43
1018,50.75,16,0.235
1018,49.25,16.5,-0.835
1018,49.75,16.5,0.914
1018,50.25,16.5,1.358
1018,50.75,16.5,-0.961
1019,49.25,13.5,1.459
1019,49.75,13.5,1.313
1019,50.25,13.5,1.363
1019,50.75,13.5,-1.404
1019,49.25,14,1.16
1019,49.75,14,0.093
1019,50.25,14,2.131
1019,50.75,14,-1.696
1019,49.25,14.5,1.292
1019,49.75,14.5,0.416
1019,50.25,14.5,0.625
1019,50.75,14.5,0.872
1019,49.25,15,-0.265
1019,49.75,15,0.882
1019,50.25,15,1.845
1019,50.75,15,-0.315
1019,49.25,15.5,0.999
1019,49.75,15.5,1.703
1019,50.25,15.5,0.043
1019,50.75,15.5,-0.417
1019,49.25,16,0.11
1019,49.75,16,0.73
1019,50.25,16,0.982
1019,50.75,16,0.622
1019,49.25,16.5,-2.309
1019,49.75,16.5,-0.806
1019,50.25,16.5,-0.845
1019,50.75,16.5,-0.331
1020,49.25,13.5,-0.79
1020,49.75,13.5,-2.817
1020,50.25,13.5,-6.001
1020,50.75,13.5,-5.048
1020,49.25,14,-5.236
1020,49.75,14,-2.396
1020,50.25,14,-3.344
1020,50.75,14,-3.939
1020,49.25,14.5,-0.952
1020,49.75,14.5,-3.562
1020,50.25,14.5,-3.009
1020,50.75,14.5,-3.208
1020,49.25,15,-2.043
1020,49.75,15,-2.838
1020,50.25,15,-1.213
1020,50.75,15,-4.56
1020,49.25,15.5,-2.229
1020,49.75,15.5,-1.065
1020,50.25,15.5,0.305
1020,50.75,15.5,-1.53
1020,49.25,16,-0.695
1020,49.75,16,0.291
1020,50.25,16,0.05
1020,50.75,16,0.577
1020,49.25,16.5,-3.47
1020,49.75,16.5,-0.507
1020,50.25,16.5,0.411
1020,50.75,16.5,1.56
1021,49.25,13.5,4.015
1021,49.75,13.5,1.788
1021,50.25,13.5,-3.127
1021,50.75,13.5,-1.747
1021,49.25,14,-2.735
1021,49.75,14,-0.093
1021,50.25,14,0.244
1021,50.75,14,-2.19
